Species_ID;Species_Name;Region;Pool;Primers_in_pool;nPrimer
12;Cercocebus chrysogaster;peak7;peak_7_new_3;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.4|R)_peak7_new, (0.6|R)_peak7_new, (0.7|F)_peak7_new, (0.9|R)_peak7_new, (0.10|F)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;10
13;Macaca mulatta;peak1;peak_1_old_2;(0.1|F)_peak1_new, (0.2|F)_peak1_new, (0.3|R)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;7
13;Macaca mulatta;peak6;peak_6_new_1;(0.1|F)_peak6_new, (0.2|R)_peak6_new, (0.3|R)_peak6_new, (0.4|F)_peak6_new, (0.5|F)_peak6_new, (0.7|F)_peak6_new, (0.8|F)_peak6_new;7
13;Macaca mulatta;peak7;peak_7_new_3;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.4|R)_peak7_new, (0.6|R)_peak7_new, (0.7|F)_peak7_new, (0.9|R)_peak7_new, (0.10|F)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;10
14;Macaca arctoides;peak1;peak_1_old_2;(0.1|F)_peak1_new, (0.2|F)_peak1_new, (0.3|R)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;7
14;Macaca arctoides;peak6;peak_6_new_1;(0.1|F)_peak6_new, (0.2|R)_peak6_new, (0.3|R)_peak6_new, (0.4|F)_peak6_new, (0.5|F)_peak6_new, (0.7|F)_peak6_new, (0.8|F)_peak6_new;7
14;Macaca arctoides;peak7;peak_7_new_1;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.6|R)_peak7_new, (0.9|R)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;7
15;Macaca leonia;peak1;peak1_new_1;(0.1|F)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;5
15;Macaca leonia;peak2;peak2_new_1;(0.1|F)_peak2_new, (0.3|F)_peak2_new, (0.4|R)_peak2_new, (0.6|F)_peak2_new, (0.8|F)_peak2_new;5
15;Macaca leonia;peak3;peak_3_old_1;(0.1|F)_peak3, (0.2|R)_peak3, (0.6|F)_peak3, (0.8|F)_peak3, (0.9|F)_peak3, (0.11|R)_peak3, (0.13|F)_peak3;7
15;Macaca leonia;peak5;peak_5_old_1;(0.1|F)_peak5, (0.2|R)_peak5, (0.5|F)_peak5, (0.6|R)_peak5, (0.11|F)_peak5, (0.14|R)_peak5, (0.15|R)_peak5;7
15;Macaca leonia;peak6;peak_6_old_1;(0.1|F)_peak6, (0.2|R)_peak6, (0.6|F)_peak6, (0.7|R)_peak6, (0.8|R)_peak6, (0.9|F)_peak6, (0.10|R)_peak6, (0.12|R)_peak6, (0.16|R)_peak6;9
15;Macaca leonia;peak7;peak_7_new_1;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.6|R)_peak7_new, (0.9|R)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;7
16;Macaca sylvanus;exon2;exon_2_old_1;TRNP1_exon2_(0.1|F), TRNP1_exon2_(0.2|R), TRNP1_exon2_(0.3|R), TRNP1_exon2_(0.4|F), TRNP1_exon2_(0.7|F), TRNP1_exon2_(0.8|R);6
16;Macaca sylvanus;peak1;peak1_new_1;(0.1|F)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;5
16;Macaca sylvanus;peak2;peak2_new_1;(0.1|F)_peak2_new, (0.3|F)_peak2_new, (0.4|R)_peak2_new, (0.6|F)_peak2_new, (0.8|F)_peak2_new;5
16;Macaca sylvanus;peak3;peak_3_old_1;(0.1|F)_peak3, (0.2|R)_peak3, (0.6|F)_peak3, (0.8|F)_peak3, (0.9|F)_peak3, (0.11|R)_peak3, (0.13|F)_peak3;7
16;Macaca sylvanus;peak5;peak_5_old_1;(0.1|F)_peak5, (0.2|R)_peak5, (0.5|F)_peak5, (0.6|R)_peak5, (0.11|F)_peak5, (0.14|R)_peak5, (0.15|R)_peak5;7
16;Macaca sylvanus;peak6;peak_6_old_1;(0.1|F)_peak6, (0.2|R)_peak6, (0.6|F)_peak6, (0.7|R)_peak6, (0.8|R)_peak6, (0.9|F)_peak6, (0.10|R)_peak6, (0.12|R)_peak6, (0.16|R)_peak6;9
16;Macaca sylvanus;peak7;peak_7_new_1;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.6|R)_peak7_new, (0.9|R)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;7
17;Macaca nemestrina;exon2;exon_2_old_1;TRNP1_exon2_(0.1|F), TRNP1_exon2_(0.2|R), TRNP1_exon2_(0.3|R), TRNP1_exon2_(0.4|F), TRNP1_exon2_(0.7|F), TRNP1_exon2_(0.8|R);6
17;Macaca nemestrina;peak1;peak1_new_1;(0.1|F)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;5
17;Macaca nemestrina;peak2;peak2_new_1;(0.1|F)_peak2_new, (0.3|F)_peak2_new, (0.4|R)_peak2_new, (0.6|F)_peak2_new, (0.8|F)_peak2_new;5
17;Macaca nemestrina;peak3;peak_3_old_1;(0.1|F)_peak3, (0.2|R)_peak3, (0.6|F)_peak3, (0.8|F)_peak3, (0.9|F)_peak3, (0.11|R)_peak3, (0.13|F)_peak3;7
17;Macaca nemestrina;peak5;peak_5_old_1;(0.1|F)_peak5, (0.2|R)_peak5, (0.5|F)_peak5, (0.6|R)_peak5, (0.11|F)_peak5, (0.14|R)_peak5, (0.15|R)_peak5;7
17;Macaca nemestrina;peak6;peak_6_old_1;(0.1|F)_peak6, (0.2|R)_peak6, (0.6|F)_peak6, (0.7|R)_peak6, (0.8|R)_peak6, (0.9|F)_peak6, (0.10|R)_peak6, (0.12|R)_peak6, (0.16|R)_peak6;9
17;Macaca nemestrina;peak7;peak_7_new_1;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.6|R)_peak7_new, (0.9|R)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;7
18;Cercopithecus cephus;exon2;exon_2_old_1;TRNP1_exon2_(0.1|F), TRNP1_exon2_(0.2|R), TRNP1_exon2_(0.3|R), TRNP1_exon2_(0.4|F), TRNP1_exon2_(0.7|F), TRNP1_exon2_(0.8|R);6
18;Cercopithecus cephus;peak1;peak_1_old_2;(0.1|F)_peak1_new, (0.2|F)_peak1_new, (0.3|R)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;7
18;Cercopithecus cephus;peak5;peak_5_new_1;(0.2|R)_peak5_new, (0.3|F)_peak5_new, (0.4|R)_peak5_new, (0.5|R)_peak5_new, (0.6|R)_peak5_new, (0.7|F)_peak5_new, (0.8|R)_peak5_new, (0.9|F)_peak5_new, (0.10|R)_peak5_new, (0.11|R)_peak5_new, (0.12|R)_peak5_new;11
18;Cercopithecus cephus;peak6;peak_6_new_1;(0.1|F)_peak6_new, (0.2|R)_peak6_new, (0.3|R)_peak6_new, (0.4|F)_peak6_new, (0.5|F)_peak6_new, (0.7|F)_peak6_new, (0.8|F)_peak6_new;7
18;Cercopithecus cephus;peak7;peak_7_new_3;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.4|R)_peak7_new, (0.6|R)_peak7_new, (0.7|F)_peak7_new, (0.9|R)_peak7_new, (0.10|F)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new;10
19;Cercopithecus mitis;exon2;exon_2_old_2;TRNP1_exon2_(0.1|F), TRNP1_exon2_(0.2|R), TRNP1_exon2_(0.3|R), TRNP1_exon2_(0.4|F), TRNP1_exon2_(0.7|F);5
19;Cercopithecus mitis;peak1;peak1_new_1;(0.1|F)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;5
19;Cercopithecus mitis;peak3;peak_3_old_3;(0.1|F)_peak3, (0.2|R)_peak3, (0.7|F)_peak3, (0.8|F)_peak3, (0.9|F)_peak3, (0.11|R)_peak3, (0.13|F)_peak3;7
19;Cercopithecus mitis;peak5;peak_5_old_4;(0.1|F)_peak5, (0.2|R)_peak5, (0.4|F)_peak5, (0.5|F)_peak5, (0.7|F)_peak5, (0.8|R)_peak5, (0.11|F)_peak5, (0.12|F)_peak5, (0.13|F)_peak5, (0.14|R)_peak5, (0.15|R)_peak5;11
19;Cercopithecus mitis;peak6;peak_6_old_2;(0.1|F)_peak6, (0.2|R)_peak6, (0.6|F)_peak6, (0.7|R)_peak6, (0.8|R)_peak6, (0.9|F)_peak6, (0.10|R)_peak6, (0.11|F)_peak6, (0.12|R)_peak6, (0.13|F)_peak6, (0.16|R)_peak6;11
19;Cercopithecus mitis;peak7;peak_7_new_2;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.4|R)_peak7_new, (0.5|F)_peak7_new, (0.6|R)_peak7_new, (0.7|F)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new, (0.14|F)_peak7_new;10
21;Colobus guereza;exon2;exon_2_old_2;TRNP1_exon2_(0.1|F), TRNP1_exon2_(0.2|R), TRNP1_exon2_(0.3|R), TRNP1_exon2_(0.4|F), TRNP1_exon2_(0.7|F);5
21;Colobus guereza;peak1;peak_1_old_1;(0.1|F)_peak1, (0.2|R)_peak1, (0.3|F)_peak1, (0.4|F)_peak1, (0.5|R)_peak1, (0.6|F)_peak1, (0.7|R)_peak1;7
21;Colobus guereza;peak2;peak_2_old_1;(0.1|F)_peak2_new, (0.2|R)_peak2_new, (0.3|F)_peak2_new, (0.4|R)_peak2_new, (0.5|F)_peak2_new, (0.6|F)_peak2_new, (0.7|R)_peak2_new, (0.8|F)_peak2_new;8
21;Colobus guereza;peak5;peak_5_old_4;(0.1|F)_peak5, (0.2|R)_peak5, (0.4|F)_peak5, (0.5|F)_peak5, (0.7|F)_peak5, (0.8|R)_peak5, (0.11|F)_peak5, (0.12|F)_peak5, (0.13|F)_peak5, (0.14|R)_peak5, (0.15|R)_peak5;11
21;Colobus guereza;peak6;peak_6_old_2;(0.1|F)_peak6, (0.2|R)_peak6, (0.6|F)_peak6, (0.7|R)_peak6, (0.8|R)_peak6, (0.9|F)_peak6, (0.10|R)_peak6, (0.11|F)_peak6, (0.12|R)_peak6, (0.13|F)_peak6, (0.16|R)_peak6;11
21;Colobus guereza;peak7;peak_7_new_2;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.4|R)_peak7_new, (0.5|F)_peak7_new, (0.6|R)_peak7_new, (0.7|F)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new, (0.14|F)_peak7_new;10
24;Alouatta caraya;exon2;exon_2_old_2;TRNP1_exon2_(0.1|F), TRNP1_exon2_(0.2|R), TRNP1_exon2_(0.3|R), TRNP1_exon2_(0.4|F), TRNP1_exon2_(0.7|F);5
24;Alouatta caraya;peak1;peak1_new_2;(0.1|F)_peak1_new, (0.2|F)_peak1_new, (0.3|R)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;7
24;Alouatta caraya;peak2;peak2_new_2;(0.1|F)_peak2_new, (0.2|R)_peak2_new, (0.3|F)_peak2_new, (0.4|R)_peak2_new, (0.6|F)_peak2_new, (0.8|F)_peak2_new;6
24;Alouatta caraya;peak3;peak_3_old_2;(0.1|F)_peak3, (0.2|R)_peak3, (0.3|F)_peak3, (0.4|R)_peak3, (0.9|F)_peak3, (0.11|R)_peak3;6
24;Alouatta caraya;peak5;peak_5_old_2;(0.4|F)_peak5, (0.7|F)_peak5, (0.8|R)_peak5, (0.9|F)_peak5, (0.10|R)_peak5, (0.13|F)_peak5, (0.14|R)_peak5;7
24;Alouatta caraya;peak6;peak_6_old_2;(0.1|F)_peak6, (0.2|R)_peak6, (0.6|F)_peak6, (0.7|R)_peak6, (0.8|R)_peak6, (0.9|F)_peak6, (0.10|R)_peak6, (0.11|F)_peak6, (0.12|R)_peak6, (0.13|F)_peak6, (0.16|R)_peak6;11
24;Alouatta caraya;peak7;peak_7_new_2;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.4|R)_peak7_new, (0.5|F)_peak7_new, (0.6|R)_peak7_new, (0.7|F)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new, (0.14|F)_peak7_new;10
25;Lagothrix cana;exon2;exon_2_old_2;TRNP1_exon2_(0.1|F), TRNP1_exon2_(0.2|R), TRNP1_exon2_(0.3|R), TRNP1_exon2_(0.4|F), TRNP1_exon2_(0.7|F);5
25;Lagothrix cana;peak1;peak1_new_2;(0.1|F)_peak1_new, (0.2|F)_peak1_new, (0.3|R)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;7
25;Lagothrix cana;peak2;peak_2_old_1;(0.1|F)_peak2_new, (0.2|R)_peak2_new, (0.3|F)_peak2_new, (0.4|R)_peak2_new, (0.5|F)_peak2_new, (0.6|F)_peak2_new, (0.7|R)_peak2_new, (0.8|F)_peak2_new;8
25;Lagothrix cana;peak3;peak_3_old_3;(0.1|F)_peak3, (0.2|R)_peak3, (0.7|F)_peak3, (0.8|F)_peak3, (0.9|F)_peak3, (0.11|R)_peak3, (0.13|F)_peak3;7
25;Lagothrix cana;peak5;peak_5_old_4;(0.1|F)_peak5, (0.2|R)_peak5, (0.4|F)_peak5, (0.5|F)_peak5, (0.7|F)_peak5, (0.8|R)_peak5, (0.11|F)_peak5, (0.12|F)_peak5, (0.13|F)_peak5, (0.14|R)_peak5, (0.15|R)_peak5;11
25;Lagothrix cana;peak6;peak_6_old_2;(0.1|F)_peak6, (0.2|R)_peak6, (0.6|F)_peak6, (0.7|R)_peak6, (0.8|R)_peak6, (0.9|F)_peak6, (0.10|R)_peak6, (0.11|F)_peak6, (0.12|R)_peak6, (0.13|F)_peak6, (0.16|R)_peak6;11
25;Lagothrix cana;peak7;peak_7_new_2;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.4|R)_peak7_new, (0.5|F)_peak7_new, (0.6|R)_peak7_new, (0.7|F)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new, (0.14|F)_peak7_new;10
26;Ateles fusciceps;exon2;exon_2_old_2;TRNP1_exon2_(0.1|F), TRNP1_exon2_(0.2|R), TRNP1_exon2_(0.3|R), TRNP1_exon2_(0.4|F), TRNP1_exon2_(0.7|F);5
26;Ateles fusciceps;peak1;peak_1_old_1;(0.1|F)_peak1, (0.2|R)_peak1, (0.3|F)_peak1, (0.4|F)_peak1, (0.5|R)_peak1, (0.6|F)_peak1, (0.7|R)_peak1;7
26;Ateles fusciceps;peak2;peak2_new_2;(0.1|F)_peak2_new, (0.2|R)_peak2_new, (0.3|F)_peak2_new, (0.4|R)_peak2_new, (0.6|F)_peak2_new, (0.8|F)_peak2_new;6
26;Ateles fusciceps;peak5;peak_5_old_2;(0.4|F)_peak5, (0.7|F)_peak5, (0.8|R)_peak5, (0.9|F)_peak5, (0.10|R)_peak5, (0.13|F)_peak5, (0.14|R)_peak5;7
26;Ateles fusciceps;peak6;peak_6_old_2;(0.1|F)_peak6, (0.2|R)_peak6, (0.6|F)_peak6, (0.7|R)_peak6, (0.8|R)_peak6, (0.9|F)_peak6, (0.10|R)_peak6, (0.11|F)_peak6, (0.12|R)_peak6, (0.13|F)_peak6, (0.16|R)_peak6;11
26;Ateles fusciceps;peak7;peak_7_new_2;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.4|R)_peak7_new, (0.5|F)_peak7_new, (0.6|R)_peak7_new, (0.7|F)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new, (0.14|F)_peak7_new;10
27;Cebus apella;exon2;exon_2_old_2;TRNP1_exon2_(0.1|F), TRNP1_exon2_(0.2|R), TRNP1_exon2_(0.3|R), TRNP1_exon2_(0.4|F), TRNP1_exon2_(0.7|F);5
27;Cebus apella;peak1;peak1_new_2;(0.1|F)_peak1_new, (0.2|F)_peak1_new, (0.3|R)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;7
